OBJECTID,long_,lat,thick,alt,Z_Lorenzo,bed_Z
40,86.699893000000003,27.957263999999999,177.761901855468750,4701.000000000000000,4703.4326172,4526
41,86.699940999999995,27.957310000000000,176.278869628906250,4697.000000000000000,4703.2529297,4527
42,86.700000000000003,27.957343000000002,174.425048828125000,4699.000000000000000,4703.2675781,4529
43,86.700027000000006,27.957384000000001,173.312728881835940,4702.000000000000000,4703.2998047,4530
44,86.700081999999995,27.957419999999999,173.312728881835940,4704.000000000000000,4702.3378906,4529
45,86.700107000000003,27.957455000000000,173.312728881835940,4709.000000000000000,4703.3642578,4530
46,86.700160999999994,27.957483000000000,172.200424194335940,4709.000000000000000,4703.4208984,4531
47,86.700232000000000,27.957502999999999,168.863418579101560,4709.000000000000000,4703.1757813,4534
48,86.700303000000005,27.957507000000000,168.863418579101560,4708.000000000000000,4703.4145508,4535
49,86.700359000000006,27.957490000000000,165.526336669921870,4711.000000000000000,4702.7065430,4537
50,86.700415000000007,27.957473000000000,161.818374633789060,4712.000000000000000,4701.0512695,4539
51,86.700452999999996,27.957455000000000,164.784759521484370,4708.000000000000000,4700.1796875,4535
52,86.700541999999999,27.957474999999999,165.155548095703120,4704.000000000000000,4702.9599609,4538
53,86.700614999999999,27.957473000000000,166.638717651367190,4702.000000000000000,4703.8691406,4537
54,86.700714000000005,27.957483000000000,168.863418579101560,4704.000000000000000,4705.8481445,4537
55,86.700772999999998,27.957443999999999,172.200424194335940,4704.000000000000000,4705.2763672,4533
56,86.700863999999996,27.957512999999999,172.941970825195310,4703.000000000000000,4709.5507813,4537
57,86.700937999999994,27.957529000000001,173.683502197265620,4704.000000000000000,4711.9951172,4538
58,86.701019000000002,27.957570000000000,180.357192993164060,4705.000000000000000,4715.1855469,4535
59,86.701082000000000,27.957581999999999,182.581710815429690,4708.000000000000000,4716.3237305,4534
60,86.701175000000006,27.957594000000000,184.435440063476560,4710.000000000000000,4715.9907227,4532
61,86.701234999999997,27.957619999999999,185.918411254882810,4714.000000000000000,4715.0756836,4529
62,86.701297999999994,27.957615000000001,184.806182861328120,4716.000000000000000,4713.7641602,4529
63,86.701329999999999,27.957630999999999,184.435440063476560,4716.000000000000000,4714.7983398,4530
64,86.701334000000003,27.957666000000000,184.435440063476560,4714.000000000000000,4716.3632813,4532
65,86.701442999999998,27.957668999999999,183.693954467773440,4718.000000000000000,4711.8349609,4528
66,86.701519000000005,27.957664000000001,182.952453613281250,4719.000000000000000,4708.3369141,4525
67,86.701593000000003,27.957661000000002,181.840225219726560,4717.000000000000000,4708.8364258,4527
68,86.701656999999997,27.957680000000000,184.806182861328120,4715.000000000000000,4708.7119141,4524
69,86.701740000000001,27.957684000000000,187.401367187500000,4701.000000000000000,4709.5024414,4522
70,86.701792999999995,27.957709999999999,189.255050659179690,4706.000000000000000,4711.1293945,4522
71,86.701842999999997,27.957732000000000,191.108703613281250,4704.000000000000000,4713.6083984,4522
72,86.701930000000004,27.957837000000001,192.591644287109370,4701.000000000000000,4716.0283203,4523
73,86.701991000000007,27.957846000000000,194.445266723632810,4704.000000000000000,4717.1557617,4523
74,86.702027000000001,27.957901000000000,194.815994262695310,4703.000000000000000,4715.1308594,4520
75,86.702062999999995,27.957908000000000,192.962341308593750,4704.000000000000000,4713.4155273,4520
76,86.702110000000005,27.957967000000000,188.884307861328120,4704.000000000000000,4710.0454102,4521
77,86.702201000000002,27.958006000000001,185.918411254882810,4705.000000000000000,4705.7207031,4520
78,86.702271999999994,27.958012000000000,184.064712524414060,4710.000000000000000,4705.4277344,4521
79,86.702348000000001,27.958003000000001,185.176925659179690,4709.000000000000000,4706.8652344,4522
80,86.702440999999993,27.958061000000001,187.030624389648440,4706.000000000000000,4708.5317383,4522
81,86.702535999999995,27.958086000000002,187.401367187500000,4704.000000000000000,4709.8369141,4522
82,86.702590000000001,27.958110000000001,189.996520996093750,4707.000000000000000,4711.6572266,4522
83,86.702682999999993,27.958107999999999,193.703811645507810,4706.000000000000000,4716.3701172,4523
84,86.702766999999994,27.958105000000000,198.893920898437500,4706.000000000000000,4721.0014648,4522
